Total: 134
ID: 282 | Title: 물환경보전법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 256 | Title: 방사성폐기물 관리법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 294 | Title: 소하천정비법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 858 | Title: 장애인복지법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 260 | Title: 폐기물관리법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 255 | Title: 행정대집행법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 303 | Title: 건축물관리법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 283 | Title: 물환경보전법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 295 | Title: 소하천정비법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 859 | Title: 장애인복지법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 257 | Title: 방사성폐기물 관리법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 258 | Title: 방사성폐기물 관리법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 860 | Title: 가축전염병 예방법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 261 | Title: 농어촌도로 정비법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 267 | Title: 도로교통법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 341 | Title: 동물보호법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 323 | Title: 식품위생법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 276 | Title: 악취방지법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 247 | Title: 지방자치법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 237 | Title: 행정절차법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 268 | Title: 도로교통법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 342 | Title: 동물보호법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 324 | Title: 식품위생법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 277 | Title: 악취방지법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 238 | Title: 행정절차법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 241 | Title: 공공기관의 정보공개에 관한 법률 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 242 | Title: 공공기관의 정보공개에 관한 법률 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 243 | Title: 공공기관의 정보공개에 관한 법률 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 349 | Title: 교통약자의 이동편의 증진법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 350 | Title: 교통약자의 이동편의 증진법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 351 | Title: 교통약자의 이동편의 증진법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 861 | Title: 가축전염병 예방법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 862 | Title: 가축전염병 예방법 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 299 | Title: 녹색건축물 조성 지원법 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 300 | Title: 녹색건축물 조성 지원법 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 320 | Title: 옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 321 | Title: 옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 21587 | Title: 공중화장실 등에 관한 법률 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 265 | Title: 도시철도법 등에 의한 구분지상권 등기규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 21588 | Title: 공중화장실 등에 관한 법률 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 21589 | Title: 공중화장실 등에 관한 법률 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 343 | Title: 가축분뇨의 관리 및 이용에 관한 법률 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 344 | Title: 가축분뇨의 관리 및 이용에 관한 법률 시행령 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
ID: 345 | Title: 가축분뇨의 관리 및 이용에 관한 법률 시행규칙 | Purpose: OFFICIAL_LAW | Status: VERIFIED_OFFICIAL | Juris: NATIONAL
